BEST BARGAIN BOOKS	201550601	Computers as Theatre	Brenda Laurel
FredsBookHouse	201550601	Computers As Theatre	"Laurel, Brenda"
Powell's  Books	1555582745	Tru64 Unix Troubleshooting Diagnosing &amp;	"Moore, Martin L"
Papamedia.com	1555582745	Tru64 UNIX Troubleshooting : Diagnosing and Correcting System Problems (HP Technologies)	"Martin Moore, Steven Hancock"
eCampus.com	321293533	Refactoring Databases: Evolutionary Database Design	"Ambler, Scott; Sadalage, Pramodkumar"
BEST BARGAIN BOOKS	321293533	Refactoring Databases: Evolutionary Database Design (The Addison-Wesley Signature Series)	Scott W. Ambler; Pramodkumar J. Sadalage
BEST BARGAIN BOOKS	201699710	The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming	Stephen D. Huston; James CE Johnson; Umar Syyid
Indoo.com	201699710	"ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming"	"Huston, Stephen D.Johnson, James CESyyid, Umar"
Bookbyte / Norwest Textbooks	201612437	"Kernel Projects for Linux, by Nutt"	"Nutt, Gary J"
International Books	201612437	Kernel Projects for Linux (Softcover) (CD-ROM)	Gary Nutt
A1Books	123725011	Practical Model-Based Testing: A Tools Approach	"Utting, Mark Legeard, Bruno"
TenBestBooks.com	020177061X	"Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP"	"Lee, James B.; Ware, Brent"
Caiman	020177061X	Open Source Web Development With Lamp.	"Lee, James/ Ware, Brent."
AAAbooks4u	201395193	"C++ For C Programmers, Third Edition (3rd Edition)"	"Pohl, Ira"
Powell's  Books	201395193	C++ for C Programmers 3ed	"Pohl, Ira"
GotBooks	201734117	"Essential .NET, Volume I: The Common Language Runtime"	Don Box
Technischer Overseas Pvt. Ltd.	201734117	EssentialNET. Volume I: The Common Language Runtime	Box
OwlsBooks	672323427	Micro Java(TM) Game Development	David Fox;Roman Verhovsek
eCampus.com	672323427	Micro Java Games Development	"Fox, David; Verhovsek, Roman; Verhosek, Roman"
Books @ El Paso	201433362	SQL Queries for Mere Mortals: A Hands-On Guide to Data Manipulation in SQL	"Hernandez, Michael J.; Viescas, John; Viescas, John L."
textbookxdotcom	201433362	SQL Queries for Mere Mortals A Hands-On Guide to Data Manipulation in SQL	John Viescas
textbooksNow	201719347	Linux System Administration	Gagne
Collegebooksdirect.com	201719347	Linux System Administration: A User's Guide	"Gagne, Marcel"
Bargainbookstores.com	321349806	"Java(TM) Programming Language, The (4th Edition) (The Java Series)"	Ken Arnold James Gosling David Holmes
The E	321349806	The 'java Programming Language	"Arnold, Ken; Gosling, James; Holmes, David"
Bookmantra.com	124438644	Neural Network Systems Techniques and Applications - Industrial and Manufacturing Systems	"Leondes, Cornelius T.,"
Limelight Bookshop	124438644	"Industrial and Manufacturing Systems, Vol. 4"	"Leondes, Cornelius T."
Frugal Media Corporation	130920657	Business Programming Logic (4th Edition)	Jay Singelmann
College Book Service	130920657	"Business Programming Logic : A Structured Approach, 4th edition, pb, 1990"	Singelmann/Longhurst
Indoo.com	201741296	Database Administration: The Complete Guide to Practices and Procedures	"Mullins, Craig S."
Blackwell Online	201741296	Database Administration	Craig S. Mullins
