Bookbyte / Norwest Textbooks,9.78007E+12,"Introduction to Electrical and Computer Engineering, by Carley, 2nd Edition","Carley, L., Richard"
textbooksNow,9.78007E+12,Intro to Electrical &amp; Computer Engineering (CUSTOM),Carley
Indoo.com,9.78007E+12,Introduction to Electrical and Computer Engineering,CARLEY
Powell's  Books,130351180,Computer Graphics Using Java 2D &amp; 3D,"Liang, Y Daniel"
Players Quest,130351180,Computer Graphics Using Java 2D and 3D,Y. Daniel Liang; Hong Zhang
Thomas E Franklin,201701030,The Engineering of Software: Technical Foundations for the Indiviual,"Hamlet, Dick; Maybee, Joe"
Campus Book Store,201701030,The Engineering of Software: A Technical Guide for the Individual,"Dick Hamlet, Joe Maybee"
textbooksNow,201701030,Engineering of Software,Hamlet
TenBestBooks.com,020177061X,"Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP","Lee, James B.; Ware, Brent"
Caiman,020177061X,Open Source Web Development With Lamp.,"Lee, James/ Ware, Brent."
Gunter Koppon,020177061X,Open Source Web Dev W/Lamp: Using Linux Apa,Lee
Cobain LLC,1558609342,Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking),"C Bala Kumar, Paul Kline, Tim Thompson"
Reliable Book Service,1558609342,Bluetooth Application Programming With the Java Apis,"Kumar, C. Bala; Kline, Paul J.; Thompson, Timothy J."
A1Books,1558609342,Bluetooth Application Programming with the Java APIs,C Bala Kumar
Speedy Books shipping from USA!,1558608753,"Network Processor Design : Issues and Practices, Volume 1",Mark A. Franklin
Powell's  Books,1558608753,Network Processor Design Issues &amp; Pra Vo,"Crowley, Patrick"
A1Books,1558608753,Network Processor Design: Issues and Practices,Patrick Crowley
Bargainbookstores.com,131453491,"Imperfect XML: Rants, Raves, Tips, and Tricks ... from an Insider",David Megginson
Caiman,131453491,IMPERFECT XML,"Megginson, David"
OPOE-ABE Books,131453491,"IMPERFECT XML:RANTS,RAVES,TIPS,+TRICKS",MEGGINSON
OwlsBooks,672323427,Micro Java(TM) Game Development,David Fox;Roman Verhovsek
eCampus.com,672323427,Micro Java Games Development,"Fox, David; Verhovsek, Roman; Verhosek, Roman"
Caiman,672323427,MICRO JAVA(TM) GAME DEVELOPMEN,"Verhovsek, Roman"
Beagle Books,201657821,Web Content Management: A Collaborative Approach,"Nakano, Russell"
textbookxdotcom,201657821,Web Content Management A Collaborative Approach,Russell Nakano
Bookmantra.com,201657821,Web Content Management - A Collaborative Approach,"Chan, Patrick,"
Cobain LLC,321428900,"Compilers: Principles, Techniques, and Tools","Alfred V. Aho, Jeffrey D. Ullman, Ravi Sethi"
Indoo.com,321428900,Compilers 1/e plus Selected Online Chapters from Compilers 2/e Update Package,"Aho, Alfred V.Lam, Monica S.Sethi, RaviUllman, Jeffrey D."
Caiman,321428900,"Compilers Principles, Techniques Plus Selected Online Chapters from Compilers.","Aho, Alfred V./ Sethi, Ravi/ Lam, Monica."
College Book Service,9.78007E+12,"It Today, BK&amp;CD-ROM, pb, 2001",Hill
Back Alley Books,9.78007E+12,IT Today with Interactive Companion 3.0,McGraw-Hill
Revaluation Books,9.78007E+12,It Today,Not Available (NA)
Bargainbookstores.com,201379511,BGP4 Inter-Domain Routing in the Internet,John W. Stewart
Paperbackshop-US,201379511,Bgp4,"Stewart, John W./ Stewart, John"
Indoo.com,9.78007E+12,SimNet for Office 2003 Standard Edition,TRIAD INTERACTIVE
A1Books,9.78007E+12,Simnet For Office 2003 Standard Edition,Triad Interactive
Indoo.com,321227255,"C++ Template Metaprogramming: Concepts, Tools, and Techniques from Boost and Beyond","Abrahams, DavidGurtovoy, Aleksey"
Caiman,321227255,C++ TEMPLATE METAPROGRAMMING,"Abrahams, David"
OPOE-ABE Books,321227255,C++ TEMPLATE METAPROGRAMMING-W/CD,ABRAHAMS
Librairie La Canopee. Inc.,120121514,RELIGION BAYLE CL,DELVOLVE
A1Books,120121514,"Cumulative Subject And Author Indexes For Volumes 1-49, Part Ii, Volume 51 (advances In Computers)",Marvin V. Zelkowitz
Livrenoir,120121514,"Cumulative Subject and Author Indexes for Volumes 1-49, Part II: Cumulative Subject and Author Indexes for Volumes 1-49, Part II",Marvin V. Zelkowitz (Editor)
The Bookman,131227068,Patterns of Problem Solving (2nd Edition),"Moshe F. Rubinstein, Iris R. Firstenberg"
Finisterre Books,131227068,"Patterns of Problem Solving [FACSIMILE] [Paperback] by Rubinstein, Moshe F...",Moshe F. Rubinstein; Iris Rubinstein Firstenberg
