Blackwell Online	201853949	The Art of Computer Programming	Donald E. Knuth
The Book Depository	201853949	Art of Computer Programming: v. 4	Donald E Knuth
Englishbookservice.com GTI GmbH	201853949	"Art of Computer Programming, The: Generating All Combinations and Partitions"	"Knuth, Donald E."
Papamedia.com	201853949	"The Art of Computer Programming, Volume 4, Fascicle 3 : Generating All Combinations and Partitions (Art of Computer Programming)"	Donald E. Knuth
ben artoge bookstore	321263189	Artificial Intelligence : Structures and Strategies for Complex Problem Solving (5th Edition)	George F. Luger
Economy Books	201648660	Artificial Intelligence: Structures and Strategies for Complex Problem Solving	"Luger, George F."
allenac	201648660	Artificial Intelligence: Structures and Strategies for Complex Problem Solving	George F. Luger
Papamedia.com	201398559	3D Computer Graphics (3rd Edition)	Alan H. Watt
Englishbookservice.com GTI GmbH	201398559	3D Computer Graphics	"Watt, Alan H."
Versandantiquariat Robert A. Mueller	201398559	3D Computer Graphics.	"Watt, Alan"
Mandala Books	201704471	Human-Computer Interaction in the New Millennium	"Carroll, John M."
AAAbooks4u	201704471	Human-Computer Interaction in the New Millennium	"Carroll, John"
textbookxdotcom	201704471	Human-Computer Interaction in the New Millennium	John M. Carroll
